,age,[Z/H],alpha,HdA,HdF,HgA,HgF,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C4668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,<Fe>,MgFe
62,0.4,0,0.3,9.86,6.61,9.3,6.61,-0.169,-0.0904,0.244,-0.748,-0.59,0.429,1.09,0.918,6.06,2.24,0.0285,0.0924,1.57,0.977,0.574,0.317,0.518,0.348,1.41,0.0168,0.00685,0.7755,1.10341968443562
63,0.6,0,0.3,8.98,5.92,7.98,5.82,-0.142,-0.072,0.362,0.204,-0.0344,0.609,1.44,1.44,5.41,2.71,0.0318,0.107,1.85,1.23,0.819,0.468,0.582,0.398,1.6,0.0178,0.00954,1.0245,1.37670803004849
64,0.8,0,0.3,7.42,4.98,6.01,4.75,-0.108,-0.0477,0.461,1.25,0.624,0.783,1.76,2.01,4.69,3.14,0.037,0.12,2.09,1.47,1.04,0.614,0.652,0.448,1.75,0.0184,0.0113,1.255,1.61955240730271
65,1,0,0.3,6.22,4.32,4.4,3.91,-0.0841,-0.0281,0.584,1.96,1.18,0.935,2.04,2.53,4.11,3.52,0.0494,0.141,2.34,1.71,1.29,0.793,0.728,0.54,2.03,0.0213,0.0207,1.5,1.87349939951952
66,2,0,0.3,1.94,2.1,-0.854,1.17,-0.0147,0.0263,0.889,4.07,2.71,1.31,2.64,3.88,2.67,4.26,0.074,0.186,3,2.17,1.72,1.1,0.824,0.64,2.52,0.033,0.0475,1.945,2.41557446583623
67,3,0,0.3,0.71,1.46,-2.52,0.269,0.0159,0.0539,1.03,4.79,3.38,1.46,2.85,4.52,2.31,4.63,0.0837,0.21,3.39,2.36,1.87,1.22,0.868,0.681,2.76,0.039,0.061,2.115,2.67765755838942
68,4,0,0.3,0.227,1.21,-3.19,-0.0999,0.0244,0.0606,1.09,5.07,3.63,1.51,2.93,4.69,2.18,4.73,0.0881,0.22,3.56,2.42,1.93,1.26,0.877,0.691,2.84,0.0401,0.0647,2.175,2.78262466028029
69,5,0,0.3,-0.216,0.991,-3.79,-0.432,0.034,0.0692,1.16,5.32,3.87,1.57,3.01,4.87,2.06,4.82,0.0931,0.23,3.72,2.49,1.98,1.31,0.891,0.704,2.94,0.0409,0.0685,2.235,2.88343545098551
70,6,0,0.3,-0.583,0.813,-4.24,-0.691,0.0416,0.0759,1.2,5.53,4.04,1.61,3.07,5.01,1.96,4.9,0.0966,0.237,3.84,2.53,2.03,1.34,0.902,0.714,3.01,0.0412,0.0705,2.28,2.95891872142511
71,7,0,0.3,-0.786,0.715,-4.48,-0.833,0.0441,0.0776,1.23,5.63,4.1,1.63,3.09,5.05,1.92,4.98,0.0973,0.24,3.93,2.56,2.04,1.35,0.902,0.713,3.04,0.0416,0.0714,2.3,3.00649297354908
72,8,0,0.3,-0.925,0.652,-4.65,-0.935,0.045,0.078,1.26,5.7,4.16,1.65,3.11,5.06,1.88,4.99,0.0989,0.244,3.99,2.57,2.06,1.36,0.902,0.713,3.08,0.0417,0.073,2.315,3.03921864958742
73,9,0,0.3,-1.16,0.548,-4.92,-1.09,0.0497,0.0825,1.29,5.82,4.29,1.68,3.16,5.16,1.81,4.99,0.103,0.25,4.07,2.6,2.09,1.38,0.906,0.718,3.16,0.0424,0.0769,2.345,3.08936077530611
74,10,0,0.3,-1.32,0.476,-5.11,-1.21,0.0523,0.0847,1.32,5.9,4.35,1.7,3.18,5.2,1.77,5.06,0.104,0.254,4.15,2.63,2.11,1.39,0.908,0.721,3.2,0.0427,0.0781,2.37,3.13616007244528
75,11,0,0.3,-1.55,0.379,-5.36,-1.35,0.0579,0.0903,1.36,6.01,4.47,1.73,3.23,5.32,1.7,5.08,0.109,0.261,4.22,2.66,2.14,1.43,0.914,0.727,3.29,0.0436,0.0817,2.4,3.18245188494657
